voz,motor_voz,carpeta,pista,evento,frase,biblioteca,archivo,bytes,sha256
1,es-HN-CarlosNeural,01,001,ch_menos,Modo manual activado.,Carlos/01/001.mp3,01/001.mp3,13680,25e9e604f71e3efcf1d8271019bebc5d54cc1f77e5740fc7c0776b49ea65e036
1,es-HN-CarlosNeural,01,002,ch_menos,Control manual habilitado.,Carlos/01/002.mp3,01/002.mp3,14832,b76f01e31db966745b88fc7a6d0bc49ee9dcb2930f70428b359a383bd1312b63
1,es-HN-CarlosNeural,01,003,ch_menos,"Tú mandas, yo obedezco.",Carlos/01/003.mp3,01/003.mp3,16272,3f3b40517803164180fc7538be0f229765ca50ddafe7d5add8a629a454f8a158
1,es-HN-CarlosNeural,01,004,ch_menos,Automático desactivado.,Carlos/01/004.mp3,01/004.mp3,15120,cac4a03e1939d987cff1cc9163ae804b6effce92de3f85e1e6be00c3b2e54ed8
1,es-HN-CarlosNeural,02,001,ch_spare,Spare encendido.,Carlos/02/001.mp3,02/001.mp3,12096,9326bcb9c3fa976d57be0babbdc1403c923b3687fdf198521f3a92caa164dee0
1,es-HN-CarlosNeural,02,002,ch_spare,Spare apagado.,Carlos/02/002.mp3,02/002.mp3,11520,ab2cc1332a9e15539e1ecc746668fa07f377df2a56a6cdbc495c81ff98891fd2
1,es-HN-CarlosNeural,02,003,ch_spare,Spare en automático.,Carlos/02/003.mp3,02/003.mp3,13392,05313ba466ec4e0581605b26992f5eec31c9926a26e1992a78067444e96d3041
1,es-HN-CarlosNeural,02,004,ch_spare,Spare apagado en automático.,Carlos/02/004.mp3,02/004.mp3,15696,9ce4a34e5ab8332030d6a7c088845d841d5e536569b3141ed1c87beef99e12c2
1,es-HN-CarlosNeural,03,001,ch_mas,Modo automático activado.,Carlos/03/001.mp3,03/001.mp3,14688,95459ea6eab46c8be531709f51f1d076b6214874b55813abee73ab8bb6ce7b7e
1,es-HN-CarlosNeural,03,002,ch_mas,Automatización habilitada.,Carlos/03/002.mp3,03/002.mp3,15840,ed6bd3ffddde63d4109e7c99248e75f5d8a8b2544b912dfe321504360873f176
1,es-HN-CarlosNeural,03,003,ch_mas,La casa se gobierna sola.,Carlos/03/003.mp3,03/003.mp3,15120,a5bf84530da6558eb5c79dcbccc4132aaed7ccbf6d93a5ffeac6ee7d7c987e52
1,es-HN-CarlosNeural,03,004,ch_mas,Control automático en marcha.,Carlos/03/004.mp3,03/004.mp3,15840,ebc81bf42f65e9a8751483b1c149307a0d04b6336da9c491fe318d06be067bc1
1,es-HN-CarlosNeural,04,001,casa,Casa encendida.,Carlos/04/001.mp3,04/001.mp3,11520,2f85d5053c202ee1808f36a3cc6910fa97bd7a1944ef8d6b261b4af56b99c973
1,es-HN-CarlosNeural,04,002,casa,Casa apagada.,Carlos/04/002.mp3,04/002.mp3,11232,34e2db605a0d24ac5a220e3f2dbbd80bb43faf1d160522eb522a470f4bb62e32
1,es-HN-CarlosNeural,04,003,casa,Casa en automático.,Carlos/04/003.mp3,04/003.mp3,12816,e561ba82c4624cc39f988d54b7cbedcefd007e2c4e2236724fbeddf8abb82181
1,es-HN-CarlosNeural,04,004,casa,Casa apagada en automático.,Carlos/04/004.mp3,04/004.mp3,15552,433e66b2c221833a12681715b00b18d53ae262d6e78a5c51e5b81f1d9dc94557
1,es-HN-CarlosNeural,05,001,play_silencio,Sonido activado.,Carlos/05/001.mp3,05/001.mp3,12096,a197039194392ce8cafb0d003d2c5f10130f03513eed95c876b7246512c3f764
1,es-HN-CarlosNeural,05,002,play_silencio,Silencio activado.,Carlos/05/002.mp3,05/002.mp3,13104,49705b6b2dd0f7078e25cc0e3c3ff9c574fd76ce7f8e8233090bca3ff63bd1fa
1,es-HN-CarlosNeural,05,003,play_silencio,Voz reanudada.,Carlos/05/003.mp3,05/003.mp3,11520,4ed772ee99d35d54a86ec32e270f5caea5777407f860f71925c72eb540838d59
1,es-HN-CarlosNeural,05,004,play_silencio,Jarvis enmudecido.,Carlos/05/004.mp3,05/004.mp3,13104,6bfa617e9d2fbdf212c9336aa08432dc43aec792aad9820275453a714d4ba43b
1,es-HN-CarlosNeural,06,001,porche,Porche encendido.,Carlos/06/001.mp3,06/001.mp3,11808,0deb88806af23884cfa6e1d863585ce32f290e1cb452812c5789892f2e067cc9
1,es-HN-CarlosNeural,06,002,porche,Porche apagado.,Carlos/06/002.mp3,06/002.mp3,11232,5621ffcc4f5f4e38e4107d98b4211b1569313a0d876308aee35c804239203886
1,es-HN-CarlosNeural,06,003,porche,Porche en automático.,Carlos/06/003.mp3,06/003.mp3,12816,a7c64340c3ba58f00e7a2dbdce257627b91384c3ab633d26f65266b062a85b0e
1,es-HN-CarlosNeural,06,004,porche,Porche apagado en automático.,Carlos/06/004.mp3,06/004.mp3,15408,7d7e0bbafdbf001e4c39cd679eb09dfe3dd0500e136ca61c467a9957c8658fe2
